athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,First Name,born_year
129112,Fatimə Alkərəmova,2002-06-26,Bakı,Bakı,AZE,Azerbaijan,175.0,60.0,,Fatimə,2002.0
129587,Ren Qian,2001-02-20,Dujiangyan,Sichuan,CHN,People's Republic of China,162.0,49.0,,Ren,2001.0
129673,Ai Yanhan,2002-02-07,Wuhan,Hubei,CHN,People's Republic of China,168.0,54.0,,Ai,2002.0
130054,Sally Yee,2001-04-10,Suva,Rewa,FIJ,Fiji,,,,Sally,2001.0
130443,Kaya Forson,2002-03-19,,,,Ghana,,,,Kaya,2002.0
130515,Ajna Késely,2001-09-10,Budapest,Budapest,HUN,Hungary,165.0,54.0,,Ajna,2001.0
130821,Natsumi Sakai,2001-06-19,,,,Japan,172.0,63.0,,Natsumi,2001.0
130991,Siri Budcharern,2002-01-12,Vientiane,Vientiane,LAO,Lao People's Democratic Republic,166.0,63.0,,Siri,2002.0
131220,Gaurika Singh,2002-11-26,Lalitpur,Bagmati,NEP,Nepal,155.0,45.0,,Gaurika,2002.0
131440,Kim Mi-Rae,2001-04-07,,,,Democratic People's Republic of Korea,150.0,40.0,,Kim,2001.0
131521,Ana Dascăl,2002-09-12,Cluj-Napoca,Cluj,ROU,Romania,183.0,60.0,,Ana,2002.0
131686,Janja Šegel,2001-06-17,Ravne na Koroškem,Ravne na Koroškem,SLO,Slovenia,177.0,60.0,,Janja,2001.0
131840,Anastasiya Tyurina,2001-09-27,Dushanbe,Nohijahoi Tobei Çumhuri,TJK,Tajikistan,165.0,50.0,,Anastasiya,2001.0
131844,Darýa Semýonowa,2002-05-28,Aşgabat,Ashgabat,TKM,Turkmenistan,170.0,50.0,,Darýa,2002.0
135218,Thint Myaat,2002-04-14,,,,Myanmar,160.0,52.0,,Thint,2002.0
136908,Elizabeth Hosking,2001-07-22,Longueuil,Québec,CAN,Canada,167.0,54.0,,Elizabeth,2001.0
136915,Éliot Grondin,2001-04-19,Sainte-Marie,Québec,CAN,Canada,183.0,81.0,,Éliot,2001.0
136951,Wu Meng,2002-10-02,,,,People's Republic of China,160.0,53.0,,Wu,2002.0
136953,Zhang Kexin,2002-06-05,,,,People's Republic of China,157.0,55.0,,Zhang,2002.0
136954,Kong Xiangrui,2001-01-18,,,,People's Republic of China,172.0,55.0,,Kong,2001.0
136955,Mao Bingqiang,2001-07-19,,,,People's Republic of China,160.0,52.0,,Mao,2001.0
136982,Li Jinyu,2001-01-30,Harbin,Heilongjiang,CHN,People's Republic of China,161.0,58.0,,Li,2001.0
137181,Tess Ledeux,2001-11-23,Bourg-Saint-Maurice,Savoie,FRA,France,158.0,,,Tess,2001.0
137194,Lucile Morat,2001-06-15,Courchevel,Savoie,FRA,France,166.0,53.0,,Lucile,2001.0
137197,Julia Pereira de Sousa Mabileau,2001-09-20,Quincy-sous-Sénart,Essonne,FRA,France,174.0,60.0,,Julia,2001.0
137341,Arabella Ng,2001-10-08,Hong Kong,Hong Kong,HKG,"Hong Kong, China",,,,Arabella,2001.0
137342,Szonja Hozmann,2001-04-27,Budapest,Budapest,HUN,Hungary,175.0,64.0,,Szonja,2001.0
137454,Taisei Yamamoto,2001-03-29,Tokyo,Tokyo,JPN,Japan,173.0,70.0,,Taisei,2001.0
137479,Reira Iwabuchi,2001-12-14,Ichinoseki,Iwate,JPN,Japan,145.0,38.0,,Reira,2001.0
137485,Hiroaki Kunitake,2002-02-10,Agui,Aichi,JPN,Japan,163.0,54.0,,Hiroaki,2002.0
137488,Yuto Totsuka,2001-09-27,Yokohama,Kanagawa,JPN,Japan,169.0,64.0,,Yuto,2001.0
137518,Ayaulym Amrenova,2001-11-30,Almaty,Almaty,KAZ,Kazakhstan,168.0,,,Ayaulym,2001.0
137558,Jang Yu-Jin,2001-05-01,,,,Republic of Korea,167.0,56.0,,Jang,2001.0
137564,Kim Ha-Neul,2002-04-11,Anyang,Gyeonggi,KOR,Republic of Korea,149.0,,,Kim,2002.0
137567,Cha Jun-Hwan,2001-10-21,Seoul,Seoul,KOR,Republic of Korea,175.0,,,Cha,2001.0
137573,Eom Su-Yeon,2001-02-01,,,,Korea Team Republic of Korea,168.0,60.0,,Eom,2001.0
137580,Kim Hee-Won,2001-08-01,,,,Korea Team,164.0,55.0,,Kim,2001.0
